ingredient_id,inci_name
ing00000,+/- [ci 77891 / titanium dioxide
ing00001,1
ing00002,1-2-hexanediol
ing00003,1-methylhydantoin-2-imide
ing00004,10 –decanediol
ing00005,10-decanediol
ing00006,10-hydroxydecanoic acid
ing00007,100% dead sea salt
ing00008,100% pure squalane oil
ing00009,2
ing00010,2 hexanediol
ing00011,2 hexanediol & sodium hyaluronate & aqua
ing00012,2- hexanediol
ing00013,2-bromo-2-nitropropane-1
ing00014,2-dimethylhydrocinnamal
ing00015,2-hexanediol
ing00016,2-hexanediol. caprylic/capric glycerides. caprylyl glycol. carbomer. disodium edta. fragrance . phenyl trimethicone. ribes rubrum  fruit extract . rubus idaeus  fruit extract . sodium benzoate. tocopheryl glucoside. tropolone. vaccinium myrtillus fruit extract
ing00017,2-hexanediol. dimethicone. isocetyl stearoyl stearate. triethylhexanoin. caprylic/capric triglyceride. betaine. methyl gluceth-20. polyglyceryl-10 myristate. acrylates/c10-30 alkyl acrylate crosspolymer. bht. bis-peg-18 methyl ether dimethyl silane. c12-20 alkyl glucoside. c14-22 alcohols. carbomer. citric acid. cucurbita pepo  seed oil . fragrance . phytosterols. potassium hydroxide. sodium citrate. sodium dextran sulfate. sodium hyaluronate. squalane. tocopheryl glucoside. water 
ing00018,2-oleamido-1
ing00019,3-diol
ing00020,3-o-ethyl ascorbic acid
ing00021,3-octadecanediol
ing00022,4-dicarboxylate
ing00023,4-t-butylcyclohexanol
ing00024,6-dimethyl-7-octen-2-ol
ing00025,6-naphthalate
ing00026,7-dehydrocholesterol
ing00027,[+/- iron oxides
ing00028,abies alba leaf oil
ing00029,abies balsamea extract
ing00030,abies sibirica oil
ing00031,acacia concinna fruit extract
ing00032,acacia decurrens  flower cera
ing00033,acacia decurrens  flower wax
ing00034,acacia decurrens absolute
ing00035,acacia decurrens flower cera
ing00036,acacia decurrens flower extract
ing00037,acacia decurrens flower wax
ing00038,acacia senegal gum
ing00039,acacia senegal gum extract
ing00040,acacia seyal gum extract
ing00041,acai fruit oil
ing00042,acer saccharinum  extract & citrus aurantium dulcis  fruit extract & citrus medica limonum  fruit extract & saccharum officinarum  extract & vaccinium myrtillus  leaf extract & aqua
ing00043,acer saccharum
ing00044,acer saccharum  extract
ing00045,acer saccharum  sap extract
