product_id,name,brand,price,type
p00000,The Ordinary Natural Moisturising Factors + HA 30ml,The Ordinary,5.2,Moisturiser
p00001,CeraVe Facial Moisturising Lotion SPF 25 52ml,CeraVe,13.0,Moisturiser
p00002,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,The Ordinary,6.2,Moisturiser
p00003,AMELIORATE Transforming Body Lotion 200ml,AMELIORATE,22.5,Moisturiser
p00004,CeraVe Moisturising Cream 454g,CeraVe,16.0,Moisturiser
p00005,CeraVe Moisturising Lotion 473ml,CeraVe,15.0,Moisturiser
p00006,CeraVe Facial Moisturising Lotion No SPF 52ml,CeraVe,13.0,Moisturiser
p00007,The Ordinary Natural Moisturizing Factors + HA 100ml,The Ordinary,6.8,Moisturiser
p00008,CeraVe Smoothing Cream 177ml,CeraVe,12.0,Moisturiser
p00009,Clinique Moisture Surge 72 Hour Moisturiser 75ml,Clinique,37.0,Moisturiser
p00010,CeraVe Moisturising Cream 50ml,CeraVe,4.0,Moisturiser
p00011,CeraVe Moisturising Cream 340g,CeraVe,13.0,Moisturiser
p00012,First Aid Beauty Ultra Repair Cream (56.7g),First Aid Beauty,12.0,Moisturiser
p00013,Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),Avène,16.0,Moisturiser
p00014,Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,Clinique,30.0,Moisturiser
p00015,First Aid Beauty Ultra Repair Cream (170g),First Aid Beauty,25.0,Moisturiser
p00016,Weleda Skin Food (75ml),Weleda,12.95,Moisturiser
p00017,Neutrogena Hydro Boost City Shield SPF Moisturiser,Neutrogena,12.99,Moisturiser
p00018,Egyptian Magic All Purpose Skin Cream 118ml/4oz,Egyptian Magic,30.0,Moisturiser
p00019,JASON Aloe Vera 98% Moisturising Gel Tube 113g,JASON,2.99,Moisturiser
p00020,CeraVe Moisturising Cream 177ml,CeraVe,9.0,Moisturiser
p00021,Embryolisse Lait-Crème Concentré (75ml),Embryolisse,20.0,Moisturiser
p00022,La Roche-Posay Effaclar H Moisturiser 40ml,La Roche-Posay,9.99,Moisturiser
p00023,Bulldog Original Moisturiser 100ml,Bulldog,4.5,Moisturiser
p00024,Clinique Dramatically Different Moisturising Gel 125ml with Pump,Clinique,30.0,Moisturiser
p00025,La Roche-Posay Effaclar Duo+ SPF30 40ml,La Roche-Posay,17.5,Moisturiser
p00026,Avene Very High Protection B-Protect SPF 50+ 30ml,Avene,14.0,Moisturiser
p00027,Avène Tolérance Extrême Emulsion 50ml,Avène,11.25,Moisturiser
p00028,Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,Estée Lauder,40.5,Moisturiser
p00029,Embryolisse Lait-Crème Concentré (30ml),Embryolisse,13.0,Moisturiser
p00030,The Chemistry Brand Intense Youth Complex Hand Cream 100ml,The Chemistry Brand,18.99,Moisturiser
p00031,Avène Tolérance Extrême Cream 50ml,Avène,15.0,Moisturiser
p00032,La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,La Roche-Posay,19.0,Moisturiser
